text,label
В жизни всегда есть место подвигу.,0
"Карл Карлу - в морду, Карл Карлу - в жопу, Карл Карлу - в ухо, Карл Карлу - в глаз, Карл Карлу - в нос, Карл Карлу - в уши, Карл Карлу - в задницу, Карл Карлу - в рот, Карл Карлу - в живот",0
"Самые богатые люди в мире - это те, у кого нет миллиарда долларов.",0
"Однажды у меня был день рождения, и я решил сделать себе подарок на Новый год. Я собрал всех своих друзей и сказал: ""Я хочу, чтобы каждый из вас получил от меня что-то такое, чего у него никогда не было"". - Что ты имеешь в виду? - спросил один из моих друзей. -",0
Каждый сходит с ума по-своему.,0
Подзатыльник - лучший способ заставить женщину замолчать.,0
"Жизнь почти удалась, если не считать того, что у тебя нет денег.",0
"У меня есть мечта, но я не знаю, как ее осуществить.",0
"Тот прекрасный день, когда я не пил.",0
"""А почему бы и нет?"" - подумал я и пошел на работу.",0
"Принимай меня такой, какая я есть.",0
"Ну не знаю, как у вас в России, а у нас на Новый год принято наряжать ёлку.",0
"Спасибо за то, что вы есть!
Спасибо за то, что я есть!<s>
Спасибо за то, что вы есть! Спасибо за то, что вы есть.
Спасибо за то, что ты есть! Спасибо за то, что ты есть! спасибо за то, что ты есть!<s>
Спасибо",0
"Когда мои друзья узнают, что у меня есть девушка, они спрашивают: ""Что ты с ней делаешь?"". Я отвечаю: ""Я ее трахаю"".",0
"Доктор, у меня проблемы с памятью. Я не помню, что было вчера, но я точно помню, что сегодня пятница.",0
"- Ты меня любишь? - Нет, я тебя.",0
"Химия, это наука о том, как сделать так, чтобы не было мучительно больно за бесцельно прожитые годы.",0
"Человек-паук никого не боится, кроме пауков.",0
Хотите превратиться в человека-паука? Купите себе паука.,0
"Чаще всего люди не ценят то, что у них есть.",0
"— Мне кажется, что я тебя где-то видел. — Нет, это ты меня где-то видел.",0
"Я отзывчивая, но не до такой степени.",0
Первые 40 лет своей жизни человек проводит во сне.,0
"- Никогда не спорьте с женщиной, если у нее нет аргументов. - А я и не спорю...",0
"Ночь. Кусты. Луна. На небе полная луна. Я лежу под кустом и жду, когда кто-нибудь придет ко мне в гости.",0
Окружающих надо знать в лицо.,0
"- Я не люблю, когда мне врут. - А я не люблю, когда меня обманывают.",0
"Ты, главное, не бойся. Бояться надо тех, кто боится тебя.",0
"Женщина сохнет по мужчине, а мужчина - по ней.",0
"— А что это у тебя в руке? — Да так, семечки.",0
"Мужчине не нужно много денег, чтобы чувствовать себя счастливым.",0
"Сегодня я понял, что не люблю свою работу. Она меня раздражает.",0
"- Мы с тобой одной крови, ты и я.",0
"Пока умные думают, я уже делаю.",0
"Проще накосячить, чем не накосячить.",0
Трезвому художнику не нужны деньги.,0
"Маме всегда есть чем заняться, а мне нет.",0
"Валера был в шоке, когда узнал, что у него есть жена. А я была в шоке, когда узнала, что у меня есть муж.",0
"В Сургуте, как и в любом другом городе России, все дороги ведут в одно место.",0
У народа есть только два выхода: 1. Валить из страны. 2. Не валить.,0
"Знаете, почему я не пью? Потому что у меня нет денег.",0
в животе урчит от голода.,0
"Мяч еще не родился, а ты уже в него играешь.",0
"- Куме, кум, кум, кум! - Что? - Кум, кум, кум.",0
"Всех люблю, но не всех.",0
"Зелёный — это когда ты не пьёшь, а зелёный — это когда ты пьёшь.",0
"Женская логика: ""Ты мне нравишься, но я тебя не люблю"". Мужская логика: ""Я тебе нравлюсь, но ты меня не любишь"".",0
"У итальянцев есть такая поговорка: ""Если ты не знаешь, что делать - делай вид, что ничего не делаешь"".",0
"Женщины на самом деле не так уж и плохи, как вы думаете. Они просто созданы для того, чтобы их любили.",0
"Мужчина пьёт, потому что ему так хочется. А женщина пьёт, потому что ей так хочется.",0
"Нет закона, который не был бы нарушен.",0
Не приобретайте кота в мешке.,0
– Что ты делаешь сегодня вечером? – Ничего. – А завтра? – Тоже ничего. – А послезавтра? – Тоже ничего. – А потом? – Тоже ничего. – А после? – Тоже ничего.,0
"Традиция - это когда на Новый год Дед Мороз дарит подарки, а Снегурочка их съедает.",0
"Раньше бабушке говорили, что она старая, а теперь говорят, что она молодая.",0
Хуже соседей только соседи.,0
"Ужасная несправедливость, когда у тебя есть все, а ты не знаешь, что с этим делать.",0
"Дмитрий Медведев заявил, что у России есть только два выхода: либо мы выйдем из кризиса, либо он выйдет из нас.",0
"Виторган, Виторган, Виторган.",0
"Внимание - это не то, что вы о себе думаете, а то, что вы о себе думаете.",0
"Совесть - это то, что никогда не спит.",0
Порхай как бабочка.,0
"Фраза с бородой: ""Я тебя люблю, но ты мне не нравишься"" переводится примерно так: ""Я тебя обожаю, но ты мне не нравишься"".",0
"Кто работал, тот знает, что это такое.",0
"Если есть что-то, чего нет у меня, значит, это кто-то другой.",0
"Девушки приходят в гости с пустыми руками, а уходят с полными.",0
"Вот сижу и думаю, что бы такое съесть, чтобы не думать о еде.",0
"— Мы с тобой одной крови, ты и я.",0
"Мама всплакнула, когда узнала, что у меня нет девушки.",0
— Ты меня любишь? — Да. — А я тебя нет.,0
Новгородский ансамбль песни и пляски имени Александрова.,0
"Не жалуйтесь на жизнь, жалуйтесь только на себя.",0
"Муж биатлонистки Ольги Зайцевой заявил, что у нее нет шансов на победу в спринте.",0
Жертвами серийного убийцы в США стали 15 человек.,0
Самая болтливая женщина в мире - это я.,0
На собеседовании: - У вас высшее образование? - Нет. - А какое? - Медицинское.,0
"Мальчик Никита, который не хотел идти в школу, но его заставили.",0
"Люди такие разные, но все-таки одинаковые.",0
"Строят глазки, строят глазки, строят глазки, строят глазки.",0
"Посмотрел цены на бензин. Оказалось, что он подорожал в два раза.",0
Камуфляж был куплен в военторге.,0
"Бесит, когда ты не можешь ответить на вопрос, потому что у тебя нет ответа.",0
"Просто жесть, а не выходные.",0
"Свобода слова - это когда ты говоришь то, что думаешь, а тебя не слушают.",0
"Тот, кто не знает, что такое любовь, никогда не женится.",0
"Что думает мужчина, когда его девушка говорит: ""Я тебя люблю"", а он ей отвечает: ""И я тебя тоже"".",0
После 30-ти жизнь только начинается.,0
"- Тетрадь по английскому языку, пожалуйста! - Что? - Тетрадь по английскому.",0
"Дети - это цветы жизни, а взрослые - это цветы смерти.",0
"- Вот ты говоришь, что любишь меня. А я тебя нет. - Почему? - Потому что я не люблю тебя.",0
"Я настолько стар, что уже не помню, сколько мне лет.",0
"Единственная причина, по которой я не пью, - это то, что у меня нет проблем с алкоголем.",0
"Попрошу у вас прощения за то, что я не оправдал ваши надежды.",0
"Соглашайтесь только на то, что вам предлагают.",0
"Челябинские лосины - это не только модно, но и полезно.",0
"Когда пьяная женщина говорит, что у нее болит голова, это не значит, что она больна. Это значит, что у нее болит голова от того, что у нее болит голова.",0
"Если чёрная кошка перебегает дорогу, то это к деньгам.",0
"- Мне, пожалуйста, стакан воды и бутерброд с колбасой. - А что у вас есть? - Бутерброд с колбасой.",0
"- А что это у тебя на лбу написано? - Это не написано, это нарисовано.",0
"- Мам, а что это у тебя в пакетике? - Кукурузные палочки. - А зачем они тебе? - Я их ем.",0
"В 80% случаев, когда женщина говорит мужчине ""нет"", она имеет в виду ""да"".",0
Недомогание – это когда не можешь встать с кровати.,0
"Когда женщина говорит мужчине, что он ей не нравится, она имеет в виду, что он ей тоже не нравится.",0
"Удивительно, но факт: чем больше я узнаю людей, тем больше они мне нравятся.",0
"Женщины, помните! Если у вас нет мужа, значит, вы не женаты.",0
"Что, если бы у меня была машина времени, я бы вернулся в прошлое и поменял свою жизнь на что-нибудь другое.",0
"Днем с огнем не сыщешь, а ночью и подавно.",0
"Гнев – это когда ты злишься на кого-то, а не на себя.",0
– Где ты работаешь? – В полиции.,0
"Отдам котенка в добрые руки. Котенок ласковый, игривый, не кусается. Стерилизован. Приучен к лотку и когтеточке. Звоните! 8-916-501-00-03 
 Провел на форуме: 1 день 10 часов 
 Последний визит",0
"Мне б такую жену, как у тебя.",0
"- Поцелуй меня, пожалуйста. - Я не могу. - Почему? - Потому что ты мне не нравишься.",0
"— Надоело мне всё это! — А что ты хочешь? — Хочу, чтобы меня оставили в покое.",0
"Мясники в России - это не профессия, а диагноз.",0
"Когда я ем, я глух и нем. Когда я пью, я глух и нем.",0
"- Как дела? - Нормально, а у тебя? - А у меня тоже.",0
"Вечно можно найти оправдание, чтобы не делать то, что хочется.",0
Для некоторых людей нет ничего невозможного.,0
"Что русский, что еврей - все одинаковы.",0
"В Южном Бутово, как и в других районах Москвы, с каждым годом становится все грязнее.",0
- Как ты относишься к алкоголю? - Я его не переношу.,0
На Украине запретили русский язык. Теперь все говорят по-украински.,0
Вспотел?! Покажись!,0
"Голод не тетка, а дядька.",0
"Я самая счастливая женщина на свете, потому что у меня нет мужа.",0
- я тебя люблю! - и я тебя тоже.,0
- Лучше бы ты меня не трогал! - А я и не трогаю.,0
"- Как дела? - Нормально, а у тебя? - Тоже нормально.",0
Головы орла и решки.,0
— У тебя есть девушка? — Нет. — А почему? — Потому что у меня нет девушки.,0
"Браки рушатся из-за того, что люди не понимают друг друга.",0
- У тебя есть девушка? - Нет. - Почему? - Потому что у меня нет девушки.,0
"Когда курил, думал, что умру. Теперь думаю, что буду жить вечно.",0
"Давай поживем вместе, а там видно будет.",0
"Помечтаешь за компом, а его уже нет.",0
"— И что ты будешь делать, если я скажу, что люблю тебя? — Я буду любить тебя до тех пор, пока ты не скажешь, что любишь меня.",0
"Если баба не дает, то это не баба, а шлюха.",0
"Слоган для компании: ""Сделано в России"".",0
"— Ты меня любишь? — Нет, я тебя нет.",0
Надвигающийся кортеж Путина.,0
Счастливая семья - это когда муж и жена не изменяют друг другу.,0
Сантехник из ЖЭКа.,0
"Там, где кончается любовь, начинается ненависть.",0
"Мнение человека, который никогда не ошибается.",0
"Как только вы начинаете говорить о том, что вам не нравится в людях, они тут же начинают хамить.",0
"- Как дела? - Нормально, а у тебя? - Тоже нормально.",0
Честь надо беречь смолоду.,0
"Если баба говорит, что ты ей не нравишься, значит, она тебе тоже не нравится.",0
Нет предела совершенству.,0
"Когда Буратино понял, что у него нет папы Карло, он пошел к папе Карло и спросил: ""Папа, а где папа Карло?""",0
"По мнению психологов, если человек постоянно думает о сексе, то у него с головой что-то не в порядке.",0
"Три признака того, что у тебя депрессия: 1. У тебя нет девушки. 2. У тебя нет денег. 3. У тебя нет друзей.",0
"Не каждый мужчина знает, что у него есть жена.",0
"Женщины - это те же дети, только в два раза умнее.",0
"Приезжайте ко мне в гости, я вас накормлю.",0
"Азиатские свингеры - это те, у кого нет жены.",0
"Жаль, что я не умею петь. Я бы спел вам колыбельную.",0
"Выборы-выборы, кандидаты-кандидаты.",0
"Я не знаю, что со мной происходит, но мне кажется, что у меня депрессия.",0
"Евросоюз настолько погряз в коррупции, что уже не знает, куда девать деньги.",0
"Извините, но я не могу ответить на все ваши вопросы.",0
"Жена мужу:Вот ты мне изменяешь, а я тебе нет.",0
"Умение правильно расставлять приоритеты в жизни - это то, что отличает человека от животного.",0
"Собрали девочку в школу, а она не пришла. Что делать?",0
"Два наркомана сидят на лавочке и курят. Один говорит другому: - Слышь, чувак, а у тебя есть что-нибудь покурить? - Нет, чувак, у меня только сигареты.",0
"- Фима, ты где? - В туалете.",0
"Очень обидно, когда тебя не понимают.",0
Дурманящий запах сирени и жасмина сводит с ума.,0
В семье не без урода.,0
"Если жизнь не удалась, то это еще не значит, что она удалась.",0
"При выбросе адреналина в кровь, мозг начинает вырабатывать эндорфины.",0
"Зимой в квартире холодно, а летом жарко.",0
- Я тебя люблю! - А я тебя нет.,0
"Если желание не исполняется, значит, оно и не должно исполняться.",0
"Настоящий бардак начинается с того, что ты не знаешь, куда девать деньги.",0
"- Пойду-ка я спать, а то завтра рано вставать.",0
Нерешаемых проблем не бывает. Бывают нерешительные люди.,0
"Чукча покупает айфон, а потом удивляется, почему он не работает.",0
"Бурная ревность - это когда ты ревнуешь, а тебя никто не ревнует.",0
Наглость - второе счастье.,0
"Извините за опоздание, но у меня срочная работа.",0
"Задумавшись во время секса, я не заметил, как кончил.",0
"— Как дела? — Хорошо, а у тебя? — У меня тоже.",0
"Я никогда не буду таким, как все.",0
"Они жили долго и счастливо, пока не умерли в один день.",0
"Может, ну его нафиг, этот Новый год? Давайте просто отметим как-нибудь.",0
Мужья и жены - две стороны одной медали.,0
"У меня есть только одна проблема - я не знаю, как ее решить.",0
"Идешь вот так по улице, а на тебя все пялятся.",0
Красота требует жертв.,0
"Ошибка подобна удару, нанесенному в сердце.",0
"""Ой, какая прелесть!"" - сказала продавщица в магазине.",0
"Спор с женой: - Ты мне изменяешь? - Нет, я тебе не изменяю.",0
"Компот у меня в голове - это не компот, а кисель.",0
"Водка была изобретена не для того, чтобы пить, а для того, чтобы закусывать.",0
"Говоришь, что любишь меня? - Да. - А я тебя нет.",0
- Какие у тебя планы на лето? - Не знаю. - А какие у тебя планы на осень? - Тоже не знаю.,0
"Сегодня меня не будет на работе, потому что у меня отпуск.",0
"Говорите, от вас пахнет мужчиной? - Нет, от меня пахнет женщиной.",0
"Небо, ноги, руки, глаза, рот, нос, уши, жопа, задница, печень, селезенка, мочевой пузырь, почки, кишечник, матка, поджелудочная железа, простата, яичники, маточные трубы, прямая кишка, семенные пузырьки,",0
"Когда в семье все хорошо, то и на работу ходить не надо.",0
"Если глупость - это хорошо, то глупость - это плохо.",0
"Когда на душе кошки скребут, это к дождю.",0
"Если наш человек не пьет и не курит, значит, он - алкоголик.",0
"Консультант «Евросети» - это не профессия, а состояние души.",0
"Раньше магазины были закрыты, а теперь открыты.",0
До Нового года осталось чуть-чуть...,0
"Болезни нашего времени - это те, которые не лечатся.",0
А спонсор у тебя есть?,0
"Переживает других, а сам страдает.",0
"- Ну, как дела? - Нормально, а у тебя? - А у меня тоже нормально.",0
"Дай человеку все, что он хочет, и он будет счастлив.",0
Водка на ночь - лучшее средство от бессонницы.,0
"Хотел донести до дома, но не донес.",0
Увидеть Париж и умереть.,0
"- Бедный, как ему плохо без тебя!",0
"— Перестань меня жалеть! — Я не жалуюсь, я сочувствую.",0
— Слезами горю не поможешь. — А я и не горю.,0
"Девушка приехала на море загорать. Море ей понравилось, а вот загорать не очень.",0
Россия отводит войска от границы с Украиной.,0
"В школе я был отличником, а в институте - двоечником.",0
"Паркуясь в неположенном месте, вы нарушаете ПДД.",0
"- Ты меня любишь? - Да, я тебя люблю.",0
Машины для людей - это люди для машин.,0
Халяве гордость не позволяет.,0
"Человек, который не знает, что такое счастье, никогда его не найдет.",0
Моя самооценка упала ниже плинтуса.,0
"Вот думаю, что бы такого съесть, чтобы похудеть?",0
"- Ты чего такой грустный? - Я не грустный, я трезвый.",0
"Дружба — это когда ты смотришь на человека, а он на тебя.",0
"— Ммммм... А что это у тебя на лбу написано? — Не знаю, я не читал.",0
"Ночью у меня всегда хорошее настроение, потому что я выспался.",0
"Тополиный пух - это не только ценный мех, но и отличная профилактика простудных заболеваний.",0
Настоящие мужчины никогда не плачут.,0
"Если у вас нет денег, не расстраивайтесь - они у меня есть.",0
